20.408,16.061,0,0,0,0,0,4.3575,0,0,0,0,0,0
16.061,31.813,4.9147,5.3865,0,0,0,5.4654,0,0,0,0,0,0
0,4.9147,10.333,5.444,0,0,0,0,0,0,0,0,0,0
0,5.3865,5.444,39.758,4.7819,0,0,22.637,1.798,0,0,0,0,0
0,0,0,4.7819,19.549,0,5.677,0,9.0901,0,0,0,0,0
0,0,0,0,0,18.547,0,3.9679,0,0,4.5369,3.5235,6.8445,0
0,0,0,0,5.677,0,5.677,0,0,0,0,0,0,0
4.3575,5.4654,0,22.637,0,3.9679,0,36.261,0,0,0,0,0,0
0,0,0,1.798,9.0901,0,0,0,24.86,11.076,0,0,0,3.3471
0,0,0,0,0,0,0,0,11.076,15.86,4.7879,0,0,0
0,0,0,0,0,4.5369,0,0,0,4.7879,9.3227,0,0,0
0,0,0,0,0,3.5235,0,0,0,0,0,6.7515,3.3566,0
0,0,0,0,0,6.8445,0,0,0,0,0,3.3566,12.612,2.5791
0,0,0,0,0,0,0,0,3.3471,0,0,0,2.5791,5.926
